Year,CountryOfAsylum,Country of asylum (ISO),RefugeesTotal
1996,Australia,AUS,67298
1996,United Kingdom of Great Britain and Northern Ireland,GBR,98577
1996,Malaysia,MYS,5305
1996,Netherlands (Kingdom of the),NLD,102573
1996,United States of America,USA,607005
1997,Australia,AUS,66056
1997,United Kingdom of Great Britain and Northern Ireland,GBR,107933
1997,Malaysia,MYS,5277
1997,Netherlands (Kingdom of the),NLD,118057
1997,United States of America,USA,563813
1998,Australia,AUS,69714
1998,United Kingdom of Great Britain and Northern Ireland,GBR,121715
1998,Malaysia,MYS,50603
1998,Netherlands (Kingdom of the),NLD,131481
1998,United States of America,USA,533951
1999,Australia,AUS,64879
1999,United Kingdom of Great Britain and Northern Ireland,GBR,148921
1999,Malaysia,MYS,50509
1999,Netherlands (Kingdom of the),NLD,138633
1999,United States of America,USA,521134
2000,Australia,AUS,60219
2000,United Kingdom of Great Britain and Northern Ireland,GBR,186247
2000,Malaysia,MYS,50477
2000,Netherlands (Kingdom of the),NLD,146174
2000,United States of America,USA,508209
2001,Australia,AUS,57885
2001,United Kingdom of Great Britain and Northern Ireland,GBR,233389
2001,Malaysia,MYS,50456
2001,Netherlands (Kingdom of the),NLD,151919
2001,United States of America,USA,515851
2002,Australia,AUS,59422
2002,United Kingdom of Great Britain and Northern Ireland,GBR,260687
2002,Malaysia,MYS,50614
2002,Netherlands (Kingdom of the),NLD,148349
2002,United States of America,USA,485173
2003,Australia,AUS,56242
2003,United Kingdom of Great Britain and Northern Ireland,GBR,276482
2003,Malaysia,MYS,7422
2003,Netherlands (Kingdom of the),NLD,140877
2003,United States of America,USA,452536
2004,Australia,AUS,63478
2004,United Kingdom of Great Britain and Northern Ireland,GBR,298826
2004,Malaysia,MYS,24900
2004,Netherlands (Kingdom of the),NLD,126792
2004,United States of America,USA,420788
2005,Australia,AUS,64955
2005,United Kingdom of Great Britain and Northern Ireland,GBR,303163
2005,Malaysia,MYS,33684
2005,Netherlands (Kingdom of the),NLD,118172
2005,United States of America,USA,379330
2006,Australia,AUS,68942
2006,United Kingdom of Great Britain and Northern Ireland,GBR,301537
2006,Malaysia,MYS,37158
2006,Netherlands (Kingdom of the),NLD,100565
2006,United States of America,USA,843434
2007,Australia,AUS,22161
2007,United Kingdom of Great Britain and Northern Ireland,GBR,299701
2007,Malaysia,MYS,32657
2007,Netherlands (Kingdom of the),NLD,86576
2007,United States of America,USA,281154
2008,Australia,AUS,20915
2008,United Kingdom of Great Britain and Northern Ireland,GBR,292081
2008,Malaysia,MYS,36668
2008,Netherlands (Kingdom of the),NLD,77589
2008,United States of America,USA,279468
2009,Australia,AUS,22543
2009,United Kingdom of Great Britain and Northern Ireland,GBR,269355
2009,Malaysia,MYS,66126
2009,Netherlands (Kingdom of the),NLD,75996
2009,United States of America,USA,275393
2010,Australia,AUS,21790
2010,United Kingdom of Great Britain and Northern Ireland,GBR,238133
2010,Malaysia,MYS,81518
2010,Netherlands (Kingdom of the),NLD,74948
2010,United States of America,USA,264505
2011,Australia,AUS,23423
2011,United Kingdom of Great Britain and Northern Ireland,GBR,193494
2011,Malaysia,MYS,86676
2011,Netherlands (Kingdom of the),NLD,74587
2011,United States of America,USA,264752
2012,Australia,AUS,30061
2012,United Kingdom of Great Britain and Northern Ireland,GBR,149790
2012,Malaysia,MYS,90173
2012,Netherlands (Kingdom of the),NLD,71893
2012,United States of America,USA,262006
2013,Australia,AUS,34485
2013,United Kingdom of Great Britain and Northern Ireland,GBR,126036
2013,Malaysia,MYS,97502
2013,Netherlands (Kingdom of the),NLD,74700
2013,United States of America,USA,263653
2014,Australia,AUS,35565
2014,United Kingdom of Great Britain and Northern Ireland,GBR,117226
2014,Malaysia,MYS,99362
2014,Netherlands (Kingdom of the),NLD,82483
2014,United States of America,USA,267214
2015,Australia,AUS,36917
2015,United Kingdom of Great Britain and Northern Ireland,GBR,123051
2015,Malaysia,MYS,94158
2015,Netherlands (Kingdom of the),NLD,88518
2015,United States of America,USA,273198
2016,Australia,AUS,42187
2016,United Kingdom of Great Britain and Northern Ireland,GBR,118973
2016,Malaysia,MYS,92256
2016,Netherlands (Kingdom of the),NLD,101727
2016,United States of America,USA,272963
2017,Australia,AUS,48480
2017,United Kingdom of Great Britain and Northern Ireland,GBR,121821
2017,Malaysia,MYS,103837
2017,Netherlands (Kingdom of the),NLD,103843
2017,United States of America,USA,287135
2018,Australia,AUS,56934
2018,United Kingdom of Great Britain and Northern Ireland,GBR,126708
2018,Malaysia,MYS,121305
2018,Netherlands (Kingdom of the),NLD,101824
2018,United States of America,USA,313242
2019,Australia,AUS,58529
2019,United Kingdom of Great Britain and Northern Ireland,GBR,133083
2019,Malaysia,MYS,129102
2019,Netherlands (Kingdom of the),NLD,94417
2019,United States of America,USA,341715
2020,Australia,AUS,57411
2020,United Kingdom of Great Britain and Northern Ireland,GBR,132304
2020,Malaysia,MYS,129902
2020,Netherlands (Kingdom of the),NLD,95897
2020,United States of America,USA,340846
2021,Australia,AUS,55606
2021,United Kingdom of Great Britain and Northern Ireland,GBR,137078
2021,Malaysia,MYS,132086
2021,Netherlands (Kingdom of the),NLD,99585
2021,United States of America,USA,339179
2022,Australia,AUS,54430
2022,United Kingdom of Great Britain and Northern Ireland,GBR,328989
2022,Malaysia,MYS,134554
2022,Netherlands (Kingdom of the),NLD,218457
2022,United States of America,USA,363059
